--- OPEN LIBRARY: shipbuilding (6763 total) ---
  Woodworking for everybody | John Gerald Shea | 1944 | https://openlibrary.org/works/OL3479752W
  Woodworking | Nancy MacDonald | 2008 | https://openlibrary.org/works/OL8482807W

--- OPEN LIBRARY: carpentry (2498 total) ---
  Carpentry | Leonard Koel | 1985 | https://openlibrary.org/works/OL2664636W
  Modern carpentry | Willis H. Wagner | 1969 | https://openlibrary.org/works/OL2906071W
  Carpentry and building construction | John Louis Feirer | 1976 | https://openlibrary.org/works/OL2703036W
  Carpentry and Joinery | R. Bayliss | 1966 | https://openlibrary.org/works/OL7277226W
  Carpentry | Floyd Vogt | 2006 | https://openlibrary.org/works/OL5847680W
  Boat carpentry | Hervey Garrett Smith | 1955 | https://openlibrary.org/works/OL3932293W
  Answer Key for Modern Carpentry | Willis H. Wagner | 1994 | https://openlibrary.org/works/OL2906058W
  Carpentry & Construction | Mark Miller | 1991 | https://openlibrary.org/works/OL14932266W
  Carpentry & joinery | Frederick C. Webber | 1898 | https://openlibrary.org/works/OL17085607W
  Carpentry | Ira Samuel Griffith | 1916 | https://openlibrary.org/works/OL1538327W
  Carpentry | Gaspar J. Lewis | 1984 | https://openlibrary.org/works/OL36429W
  Residential carpentry | Mortimer P. Reed | 1980 | https://openlibrary.org/works/OL18007523W
  Residential Construction Academy Carpentry | Floyd Vogt | 2003 | https://openlibrary.org/works/OL5847681W
  Carpentry & woodworking | Dick Demske | 1984 | https://openlibrary.org/works/OL5598949W
  Trim Carpentry Techniques | Craig Savage | 1989 | https://openlibrary.org/works/OL3483944W
  Basic Carpentry | Southern Living Magazine | 1999 | https://openlibrary.org/works/OL8044870W
  Basic Carpentry | John Capotosto | 1975 | https://openlibrary.org/works/OL5898118W
  Finish Carpentry | Nick Engler | 1994 | https://openlibrary.org/works/OL1834448W
  Cassells' carpentry and joinery | Paul N. Hasluck | 1907 | https://openlibrary.org/works/OL15851158W
  Handy man's carpentry guide | Maurice H. Reid | 1953 | https://openlibrary.org/works/OL7465910W
  Fundamentals of carpentry | Walter Edward Durbahn | 1947 | https://openlibrary.org/works/OL6092932W
  Woodworking simplified | David R. Stiles | 1996 | https://openlibrary.org/works/OL1805855W
  Carpentry | Charles Harold Hayward | 1973 | https://openlibrary.org/works/OL8452467W
  Carpentry and Joinery | Porter, Brian | 1996 | https://openlibrary.org/works/OL21282057W
  Site carpentry | C. K. Austin | 1979 | https://openlibrary.org/works/OL4633338W

