--- INTERNET ARCHIVE: shipbuilding (9340 total) ---
  Domestic Engineering 1907-06-15: Vol 39 Iss 11 | unknown | https://archive.org/details/sim_plumbing-heating-piping_1907-06-15_39_11
  The Presbyterian 1838-12-29: Vol 8 Iss 52 | unknown | https://archive.org/details/sim_presbyterian_the-presbyterian_1838-12-29_8_52
  The Presbyterian 1839-01-26: Vol 9 Iss 4 | unknown | https://archive.org/details/sim_presbyterian_the-presbyterian_1839-01-26_9_4
  The Presbyterian. 1864-05-14: Vol 34 Iss 20 | unknown | https://archive.org/details/sim_presbyterian_the-presbyterian_1864-05-14_34_20
  The Presbyterian. 1843-02-25: Vol 13 Iss 8 | unknown | https://archive.org/details/sim_presbyterian_the-presbyterian_1843-02-25_13_8
  The Presbyterian. 1845-10-25: Vol 15 Iss 43 | unknown | https://archive.org/details/sim_presbyterian_the-presbyterian_1845-10-25_15_43
  The Library 1910: Vol 1 Index | unknown | https://archive.org/details/sim_library_1910_1_index
  Trade Defict (23-Jul-2002) | Rajya Sabha Secretariat | https://archive.org/details/rsdebate.nic.in.102927
  The Mining Journal 1894-09-29: Vol 64 Iss 3084 | unknown | https://archive.org/details/sim_mining-journal_1894-09-29_64_3084
  Who's buying household furnishings, services and supplies | Various | https://archive.org/details/whosbuyinghouseh0000unse_7ed
  The Manufacturing Confectioner 1941-12: Vol 21 Iss 12 | unknown | https://archive.org/details/sim_mc-the-manufacturing-confectioner_1941-12_21_12
  The Photo-Lithographer 1948-08: Vol 16 Iss 8 | unknown | https://archive.org/details/sim_modern-lithography_1948-08_16_8
  The Michigan Librarian 1944-03: Vol 10 Iss 1 | unknown | https://archive.org/details/sim_michigan-libraries_1944-03_10_1
  Retailing career starter | Lipow, Valerie | https://archive.org/details/retailingcareers00lipo
  Moody Monthly 1928-09: Vol 29 Iss 1 | unknown | https://archive.org/details/sim_moody_1928-09_29_1
  Progressive Farmer July-December 1915: Vol 30 Index | unknown | https://archive.org/details/sim_progressive-farmer_july-december-1915_30_index
  Win the sugar war : 100 real-life stories of conquering cravings--and pounds | McCord, Holly | https://archive.org/details/winsugarwar100re0000mcco
  Textile-industry adjustment in developed countries | Shepherd, Geoffrey, 1943- | https://archive.org/details/textileindustrya0000shep

--- INTERNET ARCHIVE: engineering+manual (7923 total) ---
  STK Scenario Folder - Design of Experiment step 18 | Greg Linton | https://archive.org/details/stk-scenario-folder-design-of-experiment-step-18
  Req 1 | 38D7Uwjn | https://archive.org/details/req-1
  Lab Manual by Henrickson to accompany General, Organic & Biochemistry | Charles H. Henrickson | https://archive.org/details/labmanualbyhenri0000char
  CIA Reading Room cia-rdp80-00809a000700190129-7: NOMINATIONS FOR AWARD OF STALIN PRIZES 1952 AND 1953 | CIA Reading Room | https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000700190129-7
  CIA Reading Room cia-rdp05t00280r000300200001-3: BIBLIOGRAPHY OF SOVIET LITERATURE & GOSTS ON SOVIET RDA PROCESS | CIA Reading Room | https://archive.org/details/cia-readingroom-document-cia-rdp05t00280r000300200001-3
  CIA Reading Room cia-rdp89b00487r000300660004-7: PROPOSAL FOR DESK MODEL STEREOSCOPE AND RELATED EQUIPMENT. | CIA Reading Room | https://archive.org/details/cia-readingroom-document-cia-rdp89b00487r000300660004-7
  CIA Reading Room cia-rdp80-00809a000600360862-5: TIMBER INDUSTRY PROMOTES TECHNOLOGICAL ADVANCES | CIA Reading Room | https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000600360862-5
{"responseHeader":{"status":0,"QTime":74,"params":{"query":"(((text:engineering OR text:engineering OR text__reviews:engineering)(text:manual OR text:manual OR text__reviews:manual)) OR (text:&quot;engineering manual&quot; OR text:&quot;engineering manual&quot; OR text__reviews:&quot;engineering manual&quot;)) AND mediatype:texts","qin":"engineering manual AND mediatype:texts","fields":"identifier,title,creator,year","wt":"json","rows":25,"start":0}},"response":{"numFound":7923,"start":0,"docs":[{"creator":"Greg Linton","identifier":"stk-scenario-folder-design-of-experiment-step-18","title":"STK Scenario Folder - Design of Experiment step 18","year":2019},{"creator":"38D7Uwjn","identifier":"req-1","title":"Req 1","year":2024},{"creator":"Charles H. Henrickson","identifier":"labmanualbyhenri0000char","title":"Lab Manual by Henrickson to accompany General, Organic & Biochemistry","year":2005},{"creator":"CIA Reading Room","identifier":"cia-readingroom-document-cia-rdp80-00809a000700190129-7","title":"CIA Reading Room cia-rdp80-00809a000700190129-7: NOMINATIONS FOR AWARD OF STALIN PRIZES 1952 AND 1953","year":1954},{"creator":"CIA Reading Room","identifier":"cia-readingroom-document-cia-rdp05t00280r000300200001-3","title":"CIA Reading Room cia-rdp05t00280r000300200001-3: BIBLIOGRAPHY OF SOVIET LITERATURE & GOSTS ON SOVIET RDA PROCESS","year":1985},{"creator":"CIA Reading Room","identifier":"cia-readingroom-document-cia-rdp89b00487r000300660004-7","title":"CIA Reading Room cia-rdp89b00487r000300660004-7: PROPOSAL FOR DESK MODEL STEREOSCOPE AND RELATED EQUIPMENT.","year":1956},{"creator":"CIA Reading Room","identifier":"cia-readingroom-document-cia-rdp80-00809a000600360862-5","title":"CIA Reading Room cia-rdp80-00809a000600360862-5: TIMBER INDUSTRY PROMOTES TECHNOLOGICAL ADVANCES","year":1950},{"creator":["Jared Davis","Matt Kaufmann"],"identifier":"arxiv-1406.2266","title":"Industrial-Strength Documentation for ACL2","year":2014},{"creator":"William Charles Popplewell","identifier":"strengthmateria00poppgoog","title":"Strength of Materials: A Manual for Students of Engineering","year":1907},{"creator":["Joshua Saxe","Konstantin Berlin"],"identifier":"arxiv-1702.08568","title":"eXpose: A Character-Level Convolutional Neural Network with Embeddings For Detecting Malicious URLs, File Paths and Registry Keys","year":2017},{"creator":"CIA Reading Room","identifier":"cia-readingroom-document-cia-rdp00-01872r001001550001-3","title":"CIA Reading Room cia-rdp00-01872r001001550001-3: SOVIET TANK PROGRAMS","year":1984},{"creator":"Margaret A. Maclsaac...[et al.]","identifier":"micro_IA40243209_1369","title":"Container terminal simulation model : user's manual","year":1984},{"creator":"CIA Reading Room","identifier":"cia-readingroom-document-06775935","title":"CIA Reading Room 06775935: CIA DECLASSIFICATION WEEKLY REPORT 5-11 JANUARY 2012","year":2012},{"creator":"Cave, Gary L.","identifier":"developmentndcon109454146","title":"Development and control of robotic arms for the Naval Postgraduate School Planar Autonomous Docking Simulator (NPADS)","year":2002},{"creator":"CIA Reading Room","identifier":"cia-readingroom-document-cia-rdp78-03424a000800010020-2","title":"CIA Reading Room cia-rdp78-03424a000800010020-2: THIRD BIMONTHLY REPORT ON THE RT-21 TRANSMITTER DEVELOPMENT","year":1958},{"creator":"CIA Reading Room","identifier":"cia-readingroom-document-cia-rdp81-00706r000100200001-8","title":"CIA Reading Room cia-rdp81-00706r000100200001-8: SURVEY OF DOCUMENTS IN FAR EAST COMMAND","year":1951},{"creator":"CIA Reading Room","identifier":"cia-readingroom-document-cia-rdp85-00988r000600060027-2","title":"CIA Reading Room cia-rdp85-00988r000600060027-2: COST FACTORS AND SECRETARY OF DEFENSE AUTHORITY FOR MILITARY INSTALLATIONS","year":1979},{"creator":"CIA Reading Room","identifier":"cia-readingroom-document-cia-rdp86-00513r001031410013-7","title":"CIA Reading Room cia-rdp86-00513r001031410013-7: SCIENTIFIC ABSTRACT MAILYAN, R.L. - MAISTRAKH, K.V.","year":1967},{"creator":"CIA Reading Room","identifier":"cia-readingroom-document-cia-rdp91-00929r000100360009-3","title":"CIA Reading Room cia-rdp91-00929r000100360009-3: FR:HAZ W. TO:PARKXOLD J.","year":1983},{"identifier":"manualzilla-id-6873499","title":"The net6501 manual - Soekris Engineering"},{"creator":"CIA Reading Room","identifier":"cia-readingroom-document-cia-rdp91-01355r000400250001-8","title":"CIA Reading Room cia-rdp91-01355r000400250001-8: POSITION SUMMARIES FOR THE DS&T \"ROTATIONAL\" ASSIGNMENT PROGRAM","year":1988},{"creator":"CIA Reading Room","identifier":"cia-readingroom-document-cia-rdp88t00706r000500410003-2","title":"CIA Reading Room cia-rdp88t00706r000500410003-2: HANDBOOK OF MAJOR FOREIGN WEAPON SYSTEMS EXPORTED TO THE THIRD WORLD: 1981-86","year":1987},{"creator":"Dr. Thida Aung","identifier":"httpswww.ijtsrd.comengineeringelectronics-and-communication-engineering26512park","title":"Parking Lot Security System using RFID Technology"},{"creator":"Freeman, Roger L","identifier":"referencemanualf0000free_s2f2","title":"Reference manual for telecommunications engineering","year":2002},{"creator":"Guthrie, B.M.","identifier":"micro_IA40243514_2065","title":"Quick-release hand controls unit : installation instruction manual","year":1984}]}}

--- INTERNET ARCHIVE: woodworking (4095 total) ---
  Favreau's Custom Woodworking, Inc. | unknown | https://archive.org/details/gov.uscourts.cacb.1754599
  Woodworking Digest 1956-10: Vol 58 Iss 10 | unknown | https://archive.org/details/sim_woodworking-furniture-digest_1956-10_58_10
  Hitchcock's Wood Working Digest 1961-06: Vol 63 Iss 6 | unknown | https://archive.org/details/sim_woodworking-furniture-digest_1961-06_63_6
  Popular Science Woodworking Projects 1990 Yearbook | unknown | https://archive.org/details/popularsciencewoodworkingprojects1990yearbook_202003
  Cutting-edge table saw tips & tricks : how to get the most out of your saw | Burton, Kenneth S | https://archive.org/details/cuttingedgetable0000burt
{"responseHeader":{"status":0,"QTime":38,"params":{"query":"(text:woodworking OR text:woodworking OR text__reviews:woodworking) AND mediatype:texts","qin":"woodworking AND mediatype:texts","fields":"identifier,title,creator,year","wt":"json","rows":25,"start":0}},"response":{"numFound":4095,"start":0,"docs":[{"identifier":"gov.uscourts.cacb.1754599","title":"Favreau's Custom Woodworking, Inc."},{"identifier":"sim_woodworking-furniture-digest_1956-10_58_10","title":"Woodworking Digest 1956-10: Vol 58 Iss 10","year":1956},{"identifier":"sim_woodworking-furniture-digest_1961-06_63_6","title":"Hitchcock's Wood Working Digest 1961-06: Vol 63 Iss 6","year":1961},{"identifier":"popularsciencewoodworkingprojects1990yearbook_202003","title":"Popular Science Woodworking Projects 1990 Yearbook"},{"creator":"Burton, Kenneth S","identifier":"cuttingedgetable0000burt","title":"Cutting-edge table saw tips & tricks : how to get the most out of your saw","year":2003},{"creator":["Prentice-Hall of Canada","Reston Publishing Company"],"identifier":"newillustratedli09pren","title":"New illustrated library of home improvement : Basic Woodworking","year":1975},{"creator":"ERIC","identifier":"ERIC_ED097417","title":"ERIC ED097417: Woodworking Objective and Test Item Bank: Appendix J. Final Report.","year":1972},{"creator":"Harman, Alice, author","identifier":"vikings0000harm_f7q0","title":"The Vikings","year":2014},{"creator":"CIA Reading Room","identifier":"cia-readingroom-document-cia-rdp80-00809a000700200172-7","title":"CIA Reading Room cia-rdp80-00809a000700200172-7: INFORMATION ON GDR FOREIGN TRADE, UP TO FEBRUARY 1954","year":1954},{"creator":"CIA Reading Room","identifier":"cia-readingroom-document-cia-rdp80-00809a000700130569-5","title":"CIA Reading Room cia-rdp80-00809a000700130569-5: OPERATIONS OF SOVIET RAILWAY EQUIPMENT PLANTS, 1951 - 1952","year":1953},{"identifier":"gov.uscourts.cit.15028","title":"Sauder Woodworking Co. v. UNITED STATES OF AMERICA"},{"creator":"Blandford, Percy W","identifier":"illustratedhandb0000blan","title":"The illustrated handbook of woodworking joints","year":1984},{"identifier":"encyclopediaofte03newy","title":"Encyclopedia of technology and applied sciences","year":2000},{"creator":"Leier, Ray","identifier":"contemporaryturn0000leie","title":"Contemporary turned wood : new perspectives in a rich tradition","year":1999},{"creator":"JOHN L. FEIRER","identifier":"industrialartswo0000john_r1t4","title":"INDUSTRIAL ARTS: WOODWORKING","year":1955},{"identifier":"encyclopediaofte01newy","title":"Encyclopedia of technology and applied sciences","year":2000},{"creator":"Declan (consultant) O'Donoghue","identifier":"hamlynbookofwood0000decl","title":"Hamlyn Book of Woodworking","year":2006},{"creator":"CIA Reading Room","identifier":"cia-readingroom-document-cia-rdp80s01540r000800060004-9","title":"CIA Reading Room cia-rdp80s01540r000800060004-9: WOODWORKING PLANT AT CHEB","year":1953},{"creator":["Baker, Glenn E","Yeager, L. Dayle, joint author"],"identifier":"woodswoodworking00bake","title":"Woods and woodworking","year":1975},{"creator":"Martensson, Alf","identifier":"woodworkersbible00mart","title":"The woodworker's bible","year":1980},{"identifier":"gov.uscourts.nyed.525717","title":"Martin v. Athen's Woodworking, Inc."},{"creator":"CIA Reading Room","identifier":"cia-readingroom-document-cia-rdp80-00809a000600360593-4","title":"CIA Reading Room cia-rdp80-00809a000600360593-4: LITHUANIAN SSR EXCEEDS THIRD-QUARTER PLAN","year":1950},{"identifier":"gov.uscourts.flsd.395610","title":"gov.uscourts.flsd.395610"},{"identifier":"popularmechanics0000unse_c8t9","title":"Popular mechanics encyclopedia of tools & techniques","year":2001},{"creator":["Fred W. Zimmerman","Larry J. McWard"],"identifier":"exploringwoodwor0000fred","title":"Exploring Woodworking: Fundamentals of Technology (Workbook)","year":1998}]}}

